emuIRN,curatorial_section,object_number,object_name,native_name,culture,provenience,material,period,date_made,date_made_early,date_made_late,accession_credit_line,creator,description,manufacture_locationlocus,culture_area,technique,iconography,measurement_height,measurement_length,measurement_width,measurement_outside_diameter,measurement_tickness,measurement_unit,other_numbers,url
358325,European,EU1885M,Flake,,Upper Levallois,France,Flint,Upper Levallois,,,,"Purchased from the Field Museum, 1914",,Flint flake - Roughly rectangular. Blade-like edges. Light grey patination on lower face; greyish white mottled on  upper face. Unprepared striking platform.,,,,,,,,,,,moust 37,http://www.penn.museum/collections/object/358325
358326,European,EU1885N,Flake,,Upper Levallois,France,Flint,Upper Levallois,,,,"Purchased from the Field Museum, 1914",,Flint flake - Rectangular. Blade-like edges.  Cortex remaining along one side of upper face.  Unprepared striking platform. Grey and blue patination on upper face. Greyish white on lower.,,,,,,,,,,,moust 32,http://www.penn.museum/collections/object/358326
354128,European,37-30-2,Flake,,Lower Levallois,Belgium|Engihoul,Flint,Lower Levallois,,,,"Exchange with the Societe Royale, Belgium, 1937",,"Triangular; blade-like edges, one edge shows utilization. White patination.",,,,,,,,,,,,http://www.penn.museum/collections/object/354128
367590,European,29-181-9,Scraper,,Mousterian,France|Dordogne|Grotte des Carnassiers|Vallon des Rebieres,Flint,Mousterian,,,,"Gift of Eugene Pittard through Dr. Farabee, 1919",,Double Scraper.,,,,,,,,,,,,http://www.penn.museum/collections/object/367590
382556,European,EU2204A,Grattoir,,Neolithic,England|Northwest Suffolk|West Row,Flint,Neolithic,,,,"Purchased from Mrs. Lilian V. M. Rivers, 1916",,Flint implement - Pear-shaped grattoirs. Three implements.,,,,,,,,,,,( 19 ),http://www.penn.museum/collections/object/382556
382557,European,EU2204B,Grattoir,,Neolithic,England|Northwest Suffolk|West Row,Flint,Neolithic,,,,"Purchased from Mrs. Lilian V. M. Rivers, 1916",,Flint implement - Pear-shaped grattoirs. Three implements.,,,,,,,,,,,,http://www.penn.museum/collections/object/382557
304436,European,EU2204C,Grattoir,,Neolithic,England|Northwest Suffolk|West Row,Flint,Neolithic,,,,"Purchased from Mrs. Lilian V. M. Rivers, 1916",,Flint implement - Pear-shaped grattoirs. Three implements.,,,,,,,,,,,,http://www.penn.museum/collections/object/304436
382559,European,EU2205A,Grattoir,,Neolithic,England|Northwest Suffolk|Cavenham,Flint,Neolithic,,,,"Purchased from Mrs. Lilian V. M. Rivers, 1916",,Flint implement - Pear-shaped grattoir.,,,,,,,,,,,,http://www.penn.museum/collections/object/382559
494246,European,87-16-240,Point,,Mousterian,Europe (uncertain),Stone,,,,,"Gift of Penn Department of Anthropology, 1987",,"Tan point with flat, concave side. Opposite side is rough and convex. ""Mousterian Point""and ""ED20401"" written in black ink on flat side.",,,,,,,,,,,ED2401|ED20401,http://www.penn.museum/collections/object/494246
366693,European,EU1983A,Nucleus (Lithic),,Upper Paleolithic,France|Dordogne|Laugerie Haute,Flint,Upper Paleolithic,,,,,,Original Card:  Stone implement (4) - Nuclei<br /><br />Revised Card:  Flint nucleus - Grey flint.,,,,,,,,,,,,http://www.penn.museum/collections/object/366693
366694,European,EU1983B,Nucleus (Lithic),,Upper Paleolithic,France|Dordogne|Laugerie Haute,Flint,Upper Paleolithic,,,,,,Original Card:  Stone implement (4) - Nuclei<br /><br />Revised Card: Flint nucleus - Light-colored flint with slight bluish patination. Probably reutilized as scraper.,,,,,,,,,,,,http://www.penn.museum/collections/object/366694
366695,European,EU1983C,Nucleus (Lithic),,Upper Paleolithic,France|Dordogne|Laugerie Haute,Flint,Upper Paleolithic,,,,,,Original Card:  Stone implement (4) - Nuclei<br /><br />Revised Card:  Flint nucleus - Grey Flint.,,,,,,,,,,,,http://www.penn.museum/collections/object/366695
366696,European,EU1983D,Nucleus (Lithic),,Upper Paleolithic,France|Dordogne|Laugerie Haute,Flint,Upper Paleolithic,,,,,,Original Card:  Stone implement (4) - Nuclei<br /><br />Revised Card:  Flint nucleus - Grey brown flint.,,,,,,,,,,cm,,http://www.penn.museum/collections/object/366696
366697,European,EU1984,Nucleus (Lithic),,Upper Paleolithic,France|Dordogne|Laugerie Haute,Flint,Upper Paleolithic,,,,,,"Original Card:  Stone implement - Heavy nucleiform grattoir (rabot, rugine)<br /><br />Revised Card:  Flint nucleus - Grey Flint.",,,,,,,,,,,,http://www.penn.museum/collections/object/366697
349415,European,EU2645A,Spindle Whorl,,,Holland,Terracotta,,,,,"Exchange with the Rijksmuseum van Oudheden, Leiden, 1913",,Spindle whorl - Roughly disc-shaped - Pottery.<br /><br />F.T.204+.    See No 40 in photo.,,,,,,,,,,,Leiden FT204,http://www.penn.museum/collections/object/349415
380251,European,EU2638B.6,Bladelet,,Neolithic,England|Southeast England,Flint,Neolithic,,,,"Purchased from Mrs. S. Warrington, 1913",,Flint bladelets (12) - Not retouched. Mostly pointed.,,,,,,,,,,,,http://www.penn.museum/collections/object/380251
152930,European,EU328,Animal Bone|Long Bone,,Mousterian,France|Charente|La Quina,Animal Bone,Mousterian,,,,"Gift of Henri Martin with acknowledgements to the National Museum, St. Germain, 1923",,"Splinter of long bone from large animal. ""Marks indicating use as a compresseur.""",,,,,,,,,,,,http://www.penn.museum/collections/object/152930
185215,European,EU329,Animal Bone|Long Bone,,Mousterian,France|Charente|La Quina,Animal Bone,Mousterian,,,,"Gift of Henri Martin with acknowledgements to the National Museum, St. Germain, 1923",,"Splinter of long bone from large animal. ""Marks indicating use as a compresseur. Polished at narrow end.""",,,,,,,,,,,,http://www.penn.museum/collections/object/185215
162553,European,EU497,Dagger|Bone,,Middle Aurignacian (uncertain)|Upper Aurignacian (uncertain),France|Dordogne|Abri Blanchard (uncertain)|Labatut (uncertain)|Roches de Sergeac,Bone,Middle Aurignacian (uncertain)|Upper Aurignacian (uncertain),,,,"Purchased from Louis Didon, 1913",,"Original Card:  Dagger.  Bone.<br /><br />1940 Revised:  Worked Bone - ""Poignard"" (Didon).  Long, curved, pointed bone.  Shows signs of having been gnawed by rodents.",,,Worked,,,,,,,,,http://www.penn.museum/collections/object/162553
143581,European,EU327,Animal Bone|Rib,,Mousterian,France|Charente|La Quina,Animal Bone,Mousterian,,,,"Gift of Henri Martin with acknowledgements to the National Museum, St. Germain, 1923",,"Portion of rib of large animal. ""Marks indicating evisceration on inner face.""",,,,,,,,,,,LaQ-H2,http://www.penn.museum/collections/object/143581
185216,European,EU330,Animal Bone|Long Bone,,Mousterian,France|Charente|La Quina,Animal Bone,Mousterian,,,,"Gift of Henri Martin with acknowledgements to the National Museum, St. Germain, 1923",,"Splinter of long bone from large animal. ""Marks indicating use as a compresseur.""",,,,,,,,,,,LaQ-B2,http://www.penn.museum/collections/object/185216
17866,European,EU334,Animal Bone|Long Bone,,Mousterian,France|Charente|La Quina,Animal Bone,Mousterian,,,,"Gift of Henri Martin with acknowledgements to the National Museum, St. Germain, 1923",,Splinter of long bone from large animal.,,,,,,,,,,,LaQ-M,http://www.penn.museum/collections/object/17866
335523,European,EU335,Animal Bone|Long Bone,,Mousterian,France|Charente|La Quina,Animal Bone,Mousterian,,,,"Gift of Henri Martin with acknowledgements to the National Museum, St. Germain, 1923",,"Splinter of long bone from large animal. ""Showing use of fire in Lower Mousterian.""",,,,,,,,,,,LaQ-B4,http://www.penn.museum/collections/object/335523
379936,European,EU546B,Animal Bone|Astragalus,,Middle Aurignacian (uncertain)|Upper Aurignacian (uncertain),France|Dordogne|Abri Blanchard (uncertain)|Labatut (uncertain)|Roches de Sergeac,Reindeer Bone,Middle Aurignacian (uncertain)|Upper Aurignacian (uncertain),,,,"Purchased from Louis Didon, 1913",,"Original Card:  Astragalus, reindeer (1 of 2)<br /><br />1940 Revised:  1 of 2 reindeer astragalus (bone)",,,,,,,,,,,,http://www.penn.museum/collections/object/379936
490643,European,87-16-236,Bone Fragment,,,France|La Souquette,Bone,,,,,"Gift of Penn Department of Anthropology, 1987",,"Flat piece of bone, narrows at one end. Narrow end has 4 carved lines on one side. Lacquered",,,,,,,,,,,1890,http://www.penn.museum/collections/object/490643
532991,European,87-16-262,Animal Bone Fragment,,,Europe (uncertain),Bone,,,,,"Gift of Penn Department of Anthropology, 1987",,"Beige colored bone fragment, shaped like the head of a horse. Mouth, eyes, and ears all incised into the bone.<br />""2444"" is written in black ink on the back of the object.",,,,,,7.25,3.0,,,cm,2444,http://www.penn.museum/collections/object/532991
351986,European,65-25-74,Pin,,Swiss Lake Dweller,Switzerland,Bronze,,,,,"Exchange with Peabody Museum, Harvard, 1965",,Bronze pin,,,,,,,,,,,P. M. 5,http://www.penn.museum/collections/object/351986
367262,European,EU2381,Implement,,,Switzerland|Robenhausen,Bone,,,,,,,Number 4171 written on object in black ink. Number 2332 written on object in white ink.<br /><br />Bone implement,,,,,,,,,,,2332|4171,http://www.penn.museum/collections/object/367262
356410,European,EU2383,Implement,,,Switzerland|Robenhausen,Bone,,,,,,,Number 4171 written on object in black ink. Number 2344 written on object in white ink.<br /><br />Bone implement,,,,,,,,,,,2344|4171,http://www.penn.museum/collections/object/356410
356411,European,EU2384,Implement,,,Switzerland|Robenhausen,Antler,,,,,,,Number 4171 written on object in black ink. Number 2323 written on object in white ink.<br /><br />Antler implement,,,,,,,,,,,2323|4171,http://www.penn.museum/collections/object/356411
356412,European,EU2385,Implement,,,Switzerland|Robenhausen,Antler,,,,,,,Number 4171 written on object in black ink. Number 2330 written on object in white ink.<br /><br />Antler implement,,,,,,,,,,,2330|4171,http://www.penn.museum/collections/object/356412
367271,European,EU2394,Jaw Fragment,,,Switzerland|Robenhausen,Bone,,,,,,,Number 4176 written on object in black ink. Number 2327 written on object in white ink.<br /><br />Jaw fragment,,,,,,,,,,,2327|4176,http://www.penn.museum/collections/object/367271
367270,European,EU2393,Jaw Fragment,,,Switzerland|Robenhausen,Bone,,,,,,,Number 4176 written on object in black ink. Number 2328 written on object in white ink.<br /><br />Jaw Fragment,,,,,,,,,,,2328|4176,http://www.penn.museum/collections/object/367270
382139,European,2006-10-103,Scraper,,Swiss Lake Dweller,Switzerland,Elk Bone,,,,,"Gift of Brooklyn Museum, 2006",,Rib?  Smooth outer surface with some wear evident.  First third toward pointed end is chipped off on inside surface.,,,,,,,,,,,1406 (tag),http://www.penn.museum/collections/object/382139
382140,European,2006-10-104,Scraper,,Swiss Lake Dweller,Switzerland,Bone,,,,,"Gift of Brooklyn Museum, 2006",,Generally flat with outer side smooth.,,,,,,,,,,,1407 (tag)|01.1184.1,http://www.penn.museum/collections/object/382140
356298,European,2006-10-106,Tool,,Swiss Lake Dweller,Switzerland|Moosseedorf,Bone,,,,,"Gift of Brooklyn Museum, 2006",,Is notched and broken on one end.  Possibly a long bone.  Original Label: Moosseedorfsee.,,,,,,,,,,,1419 (tag),http://www.penn.museum/collections/object/356298
382146,European,2006-10-108,Scraper,,Swiss Lake Dweller,Switzerland|Bern Canton|Moosseedorf,Bone,,,,,"Gift of Brooklyn Museum, 2006",,Bos taurus Brach. rib(?).  Flat with a large crack on back.,,,,,,,,,,,1422 (tag),http://www.penn.museum/collections/object/382146
382149,European,2006-10-109,Scraper,,Swiss Lake Dweller,Switzerland,Bone,,,,,"Gift of Brooklyn Museum, 2006",,Two edges cut to for a daggerlike point.  Dark color.  Possibly rib bone,,,,,,,,,,,1423 (tag),http://www.penn.museum/collections/object/382149
382153,European,2006-10-110,Horn Fragment,,Swiss Lake Dweller,Switzerland,Horn (animal part),,,,,"Gift of Brooklyn Museum, 2006",,"Rough outer texture, spongy inner texture and a large crack running the length of the piece.",,,,,,,,,,,1425 (tag),http://www.penn.museum/collections/object/382153
382156,European,2006-10-113,Elk Bone,,Swiss Lake Dweller,Switzerland|Bern Canton|Moosseedorf,Elk Bone,,,,,"Gift of Brooklyn Museum, 2006",,"Cervus elephas. Right ulna.  Looks like the end of a bone, and some surfaces are natural looking.",,,,,,,,,,,1432 (tag)|01.1084,http://www.penn.museum/collections/object/382156
382159,European,2006-10-115,Antler,,Swiss Lake Dweller,Switzerland,Antler,,,,,"Gift of Brooklyn Museum, 2006",,Number 1435 written on object in black ink.<br /><br />Broken into 7 fragments.  No dimensions possible.,,,,,,,,,,,01.1093.3|1435,http://www.penn.museum/collections/object/382159
382162,European,2006-10-116,Antler,,Swiss Lake Dweller,Switzerland,Antler,,,,,"Gift of Brooklyn Museum, 2006",,Curved with severe breaks alng whole length of antler.,,,,,,,,,,,1438 (tag),http://www.penn.museum/collections/object/382162
382163,European,2006-10-117,Horn (animal part)|Antler,,Swiss Lake Dweller,Switzerland,Horn (animal part)|Antler,,,,,"Gift of Brooklyn Museum, 2006",,Long and rounded with a dark color.,,,,,,,,,,,1443 (tag)|01.1079.3,http://www.penn.museum/collections/object/382163
355826,European,2006-10-119,Boar Tusk,,Swiss Lake Dweller,Switzerland,Boar Tusk,,,,,"Gift of Brooklyn Museum, 2006",,Curved with lots of color variation (front vs. back).  Fresh breaks are evident.,,,,,,,,,,,01.1091.1|1450 (tag),http://www.penn.museum/collections/object/355826
348106,European,EU2401,Antler Fragment,,,Switzerland|Robenhausen,Antler,,,,,,,Number 4178 written on object in black ink. Number 23?? written on object in white ink.<br /><br />Antler fragment,,,,,,,,,,,23--|4178,http://www.penn.museum/collections/object/348106
367289,European,EU2412,Bone Fragment,,,Switzerland|Morigen|Lake Bienne,Bone,,,,,,,Number 4184 written on object in black ink. Number 107 written on object in white ink.<br /><br />Bone Fragment,,,,,,,,,,,112|4184|107,http://www.penn.museum/collections/object/367289
367292,European,EU2415,Antler Fragment,,,Switzerland|Robenhausen,Antler,,,,,,,Number 4185 written on object in black ink. Number 2314 written on object in white ink.<br /><br />Antler fragment,,,,,,,,,,,2314|4185,http://www.penn.museum/collections/object/367292
367293,European,EU2416,Antler Fragment,,,Switzerland|Robenhausen,Antler,,,,,,,Number 4185 written on object in black ink. Number 2324 written on object in white ink.<br /><br />Antler fragment,,,,,,,,,,,2324|4185,http://www.penn.museum/collections/object/367293
367295,European,EU2418,Antler Fragment,,,Switzerland|Neuchatel,Antler,,,,,,,Number 4187 written on object in black ink. Number 50 written on object in white ink.<br /><br />Antler fragment,,,,,,,,,,,50?|4187,http://www.penn.museum/collections/object/367295
356470,European,65-25-97A,Fishhook,,,Switzerland|Lake Neuchatel,Bronze,,,,,"Exchange with Peabody Museum, Harvard, 1965",,bronze fishhook,,,,,,,,,,,6069|40/71.19,http://www.penn.museum/collections/object/356470
356471,European,65-25-97B,Fishhook,,,Switzerland|Lake Neuchatel,Bronze,,,,,"Exchange with Peabody Museum, Harvard, 1965",,bronze fishhook,,,,,,,,,,,6069|40/71.19,http://www.penn.museum/collections/object/356471
382893,European,13272.7,Blades,,,Italy,Flint,,,,,"Gift of Francis C. Macauley, 1896",,Chipped blade (1 of 38),,,,,,,,,,,,http://www.penn.museum/collections/object/382893
364934,European,12921A,Horse Teeth|Horse Bone,,,France|Laugerie Haute,Horse Tooth|Horse Bone,,,,,"Gift of Henry C. Mercer, 1893",,1 of 15 fragments of horse teeth.  Piece of leg bone included.,,,,,,,,,,,,http://www.penn.museum/collections/object/364934
534082,European,12921B,Horse Teeth|Horse Bone,,,France|Laugerie Haute,Horse Tooth|Horse Bone,,,,,"Gift of Henry C. Mercer, 1893",,1 of 15 fragments of horse teeth.  Piece of leg bone included.,,,,,,,,,,,,http://www.penn.museum/collections/object/534082
534083,European,12921C,Horse Teeth|Horse Bone,,,France|Laugerie Haute,Horse Tooth|Horse Bone,,,,,"Gift of Henry C. Mercer, 1893",,1 of 15 fragments of horse teeth.  Piece of leg bone included.,,,,,,,,,,,,http://www.penn.museum/collections/object/534083
534084,European,12921D,Horse Teeth|Horse Bone,,,France|Laugerie Haute,Horse Tooth|Horse Bone,,,,,"Gift of Henry C. Mercer, 1893",,1 of 15 fragments of horse teeth.  Piece of leg bone included.,,,,,,,,,,,,http://www.penn.museum/collections/object/534084
534085,European,12921E,Horse Teeth|Horse Bone,,,France|Laugerie Haute,Horse Tooth|Horse Bone,,,,,"Gift of Henry C. Mercer, 1893",,1 of 15 fragments of horse teeth.  Piece of leg bone included.,,,,,,,,,,,,http://www.penn.museum/collections/object/534085
534086,European,12921F,Horse Teeth|Horse Bone,,,France|Laugerie Haute,Horse Tooth|Horse Bone,,,,,"Gift of Henry C. Mercer, 1893",,1 of 15 fragments of horse teeth.  Piece of leg bone included.,,,,,,,,,,,,http://www.penn.museum/collections/object/534086
534087,European,12921G,Horse Teeth|Horse Bone,,,France|Laugerie Haute,Horse Tooth|Horse Bone,,,,,"Gift of Henry C. Mercer, 1893",,1 of 15 fragments of horse teeth.  Piece of leg bone included.,,,,,,,,,,,,http://www.penn.museum/collections/object/534087
534088,European,12921H,Horse Teeth|Horse Bone,,,France|Laugerie Haute,Horse Tooth|Horse Bone,,,,,"Gift of Henry C. Mercer, 1893",,1 of 15 fragments of horse teeth.  Piece of leg bone included.,,,,,,,,,,,,http://www.penn.museum/collections/object/534088
534089,European,12921I,Horse Teeth|Horse Bone,,,France|Laugerie Haute,Horse Tooth|Horse Bone,,,,,"Gift of Henry C. Mercer, 1893",,1 of 15 fragments of horse teeth.  Piece of leg bone included.,,,,,,,,,,,,http://www.penn.museum/collections/object/534089
534090,European,12921J,Horse Teeth|Horse Bone,,,France|Laugerie Haute,Horse Tooth|Horse Bone,,,,,"Gift of Henry C. Mercer, 1893",,1 of 15 fragments of horse teeth.  Piece of leg bone included.,,,,,,,,,,,,http://www.penn.museum/collections/object/534090
534091,European,12921K,Horse Teeth|Horse Bone,,,France|Laugerie Haute,Horse Tooth|Horse Bone,,,,,"Gift of Henry C. Mercer, 1893",,1 of 15 fragments of horse teeth.  Piece of leg bone included.,,,,,,,,,,,,http://www.penn.museum/collections/object/534091
534092,European,12921L,Horse Teeth|Horse Bone,,,France|Laugerie Haute,Horse Tooth|Horse Bone,,,,,"Gift of Henry C. Mercer, 1893",,1 of 15 fragments of horse teeth.  Piece of leg bone included.,,,,,,,,,,,,http://www.penn.museum/collections/object/534092
534093,European,12921M,Horse Teeth|Horse Bone,,,France|Laugerie Haute,Horse Tooth|Horse Bone,,,,,"Gift of Henry C. Mercer, 1893",,1 of 15 fragments of horse teeth.  Piece of leg bone included.,,,,,,,,,,,,http://www.penn.museum/collections/object/534093
534094,European,12921N,Horse Teeth|Horse Bone,,,France|Laugerie Haute,Horse Tooth|Horse Bone,,,,,"Gift of Henry C. Mercer, 1893",,1 of 15 fragments of horse teeth.  Piece of leg bone included.,,,,,,,,,,,,http://www.penn.museum/collections/object/534094
